Date,Daily_RF
2020-12-10,2.7768098762592786e-06
2020-12-11,2.578530378549715e-06
2020-12-14,2.3802411603934814e-06
2020-12-15,2.7768098762592786e-06
2020-12-16,2.9750795063065993e-06
2020-12-17,3.173338974260531e-06
2020-12-18,3.173338974260531e-06
2020-12-21,3.09403642995143e-06
2020-12-22,3.09403642995143e-06
2020-12-23,2.9750795063065993e-06
2020-12-24,2.9750795063065993e-06
2020-12-28,3.173338974260531e-06
2020-12-29,3.569828905813921e-06
2020-12-30,2.7768098762592786e-06
2020-12-31,2.578530378549715e-06
2021-01-04,2.697499438486517e-06
2021-01-05,3.09403642995143e-06
2021-01-06,3.09403642995143e-06
2021-01-07,3.173338974260531e-06
2021-01-08,3.173338974260531e-06
