pair,entry_date,exit_date,return_before_cost,direction,converged,days_open,window_id,transaction_cost,return_after_cost
"('JPM', 'TFC')",2016-12-05,2017-02-28,-0.028443915596383818,short_A_long_B,False,85,8,0.01,-0.03844391559638382
"('AEE', 'PCG')",2016-11-07,2017-02-28,0.015486968908482446,short_A_long_B,False,113,8,0.01,0.005486968908482446
"('NEE', 'XEL')",2016-10-07,2016-11-11,0.047916739876138204,short_A_long_B,True,35,8,0.01,0.0379167398761382
"('ALL', 'CL')",2016-10-19,2017-02-28,-0.16492137768247295,short_A_long_B,False,132,8,0.01,-0.17492137768247296
"('PNC', 'WFC')",2016-09-12,2017-02-28,-0.20413233658280805,short_A_long_B,False,169,8,0.01,-0.21413233658280806
"('WEC', 'XEL')",2017-02-01,2017-02-28,-0.012966277762519018,long_A_short_B,False,27,8,0.01,-0.02296627776251902
"('AEP', 'NEE')",2016-10-07,2016-11-11,0.047368859167854716,long_A_short_B,True,35,8,0.01,0.037368859167854714
"('AEP', 'NEE')",2017-02-14,2017-02-28,0.010824386434692634,long_A_short_B,False,14,8,0.01,0.0008243864346926342
"('CMS', 'WEC')",2016-11-11,2017-02-28,-0.02207780336240206,short_A_long_B,False,109,8,0.01,-0.03207780336240206
"('ORCL', 'UPS')",2016-09-27,2017-02-01,0.05729903390585889,long_A_short_B,True,127,8,0.01,0.047299033905858885
"('ORCL', 'UPS')",2017-02-22,2017-02-28,-0.0005562470726305779,short_A_long_B,False,6,8,0.01,-0.010556247072630578
"('LIN', 'UPS')",2016-11-08,2017-02-01,0.06019922992111637,long_A_short_B,True,85,8,0.01,0.05019922992111637
"('AON', 'BRO')",2016-11-11,2017-02-28,-0.05467689382900254,long_A_short_B,False,109,8,0.01,-0.06467689382900253
"('AEP', 'XEL')",2016-11-16,2017-02-28,0.015979882548889712,long_A_short_B,False,104,8,0.01,0.005979882548889712
"('ED', 'ETR')",2016-10-25,2017-02-28,0.01794893609984549,short_A_long_B,False,126,8,0.01,0.007948936099845491
"('JPM', 'USB')",2016-11-10,2017-02-28,-0.02736183019919758,short_A_long_B,False,110,8,0.01,-0.03736183019919758
"('DTE', 'PCG')",2016-11-25,2017-02-10,0.032799405545002935,short_A_long_B,True,77,9,0.01,0.022799405545002933
"('AEE', 'XEL')",2016-11-07,2017-03-31,0.005451387860053947,short_A_long_B,False,144,9,0.01,-0.0045486121399460535
